[WARN] GBA Savestate: Savestate is for a different version of the game
[GAME ERROR] GBA DMA: Invalid DMA source address: 0x00005492
[GAME ERROR] GBA DMA: Invalid DMA source address: 0x00006200
[GAME ERROR] GBA DMA: Invalid DMA source address: 0x00006830
[GAME ERROR] GBA DMA: Invalid DMA source address: 0x0000EBE8
[GAME ERROR] GBA I/O: Read from write-only I/O register: 010
[GAME ERROR] GBA I/O: Read from write-only I/O register: 010
[GAME ERROR] GBA I/O: Read from write-only I/O register: 012
[GAME ERROR] GBA I/O: Read from write-only I/O register: 012
[GAME ERROR] GBA I/O: Read from write-only I/O register: 014
[GAME ERROR] GBA I/O: Read from write-only I/O register: 014
[GAME ERROR] GBA I/O: Read from write-only I/O register: 016
[GAME ERROR] GBA I/O: Read from write-only I/O register: 016
[GAME ERROR] GBA I/O: Read from write-only I/O register: 018
[GAME ERROR] GBA I/O: Read from write-only I/O register: 018
[GAME ERROR] GBA I/O: Read from write-only I/O register: 01A
[GAME ERROR] GBA I/O: Read from write-only I/O register: 01A
[GAME ERROR] GBA I/O: Read from write-only I/O register: 01C
[GAME ERROR] GBA I/O: Read from write-only I/O register: 01C
[GAME ERROR] GBA I/O: Read from write-only I/O register: 01E
[GAME ERROR] GBA I/O: Read from write-only I/O register: 01E
[GAME ERROR] GBA I/O: Read from write-only I/O register: 020
[GAME ERROR] GBA I/O: Read from write-only I/O register: 020
[GAME ERROR] GBA I/O: Read from write-only I/O register: 022
[GAME ERROR] GBA I/O: Read from write-only I/O register: 022
[GAME ERROR] GBA I/O: Read from write-only I/O register: 024
[GAME ERROR] GBA I/O: Read from write-only I/O register: 024
[GAME ERROR] GBA I/O: Read from write-only I/O register: 026
[GAME ERROR] GBA I/O: Read from write-only I/O register: 026
[GAME ERROR] GBA I/O: Read from write-only I/O register: 028
[GAME ERROR] GBA I/O: Read from write-only I/O register: 028
[GAME ERROR] GBA I/O: Read from write-only I/O register: 02A
[GAME ERROR] GBA I/O: Read from write-only I/O register: 02A
[GAME ERROR] GBA I/O: Read from write-only I/O register: 02C
[GAME ERROR] GBA I/O: Read from write-only I/O register: 02C
[GAME ERROR] GBA I/O: Read from write-only I/O register: 02E
[GAME ERROR] GBA I/O: Read from write-only I/O register: 02E
[GAME ERROR] GBA I/O: Read from write-only I/O register: 030
[GAME ERROR] GBA I/O: Read from write-only I/O register: 030
[GAME ERROR] GBA I/O: Read from write-only I/O register: 032
[GAME ERROR] GBA I/O: Read from write-only I/O register: 032
[GAME ERROR] GBA I/O: Read from write-only I/O register: 034
[GAME ERROR] GBA I/O: Read from write-only I/O register: 034
[GAME ERROR] GBA I/O: Read from write-only I/O register: 036
[GAME ERROR] GBA I/O: Read from write-only I/O register: 036
[GAME ERROR] GBA I/O: Read from write-only I/O register: 038
[GAME ERROR] GBA I/O: Read from write-only I/O register: 038
[GAME ERROR] GBA I/O: Read from write-only I/O register: 03A
[GAME ERROR] GBA I/O: Read from write-only I/O register: 03A
[GAME ERROR] GBA I/O: Read from write-only I/O register: 03C
[GAME ERROR] GBA I/O: Read from write-only I/O register: 03C
[GAME ERROR] GBA I/O: Read from write-only I/O register: 03E
[GAME ERROR] GBA I/O: Read from write-only I/O register: 03E
[GAME ERROR] GBA I/O: Read from write-only I/O register: 040
[GAME ERROR] GBA I/O: Read from write-only I/O register: 040
[GAME ERROR] GBA I/O: Read from write-only I/O register: 042
[GAME ERROR] GBA I/O: Read from write-only I/O register: 042
[GAME ERROR] GBA I/O: Read from write-only I/O register: 044
[GAME ERROR] GBA I/O: Read from write-only I/O register: 044
[GAME ERROR] GBA I/O: Read from write-only I/O register: 046
[GAME ERROR] GBA I/O: Read from write-only I/O register: 046
[GAME ERROR] GBA I/O: Read from write-only I/O register: 04C
[GAME ERROR] GBA I/O: Read from write-only I/O register: 04C
[GAME ERROR] GBA I/O: Read from unused I/O register: 04E
[GAME ERROR] GBA I/O: Read from unused I/O register: 04E
[GAME ERROR] GBA I/O: Read from write-only I/O register: 054
[GAME ERROR] GBA I/O: Read from write-only I/O register: 054
[GAME ERROR] GBA I/O: Read from unused I/O register: 056
[GAME ERROR] GBA I/O: Read from unused I/O register: 056
[GAME ERROR] GBA I/O: Read from unused I/O register: 058
[GAME ERROR] GBA I/O: Read from unused I/O register: 058
[GAME ERROR] GBA I/O: Read from unused I/O register: 05A
[GAME ERROR] GBA I/O: Read from unused I/O register: 05A
[GAME ERROR] GBA I/O: Read from unused I/O register: 05C
[GAME ERROR] GBA I/O: Read from unused I/O register: 05C
[GAME ERROR] GBA I/O: Read from unused I/O register: 05E
[GAME ERROR] GBA I/O: Read from unused I/O register: 05E
[WARN] Debugger: Checksum error: expected 5a, got 05
[WARN] Debugger: Packet error
