[WARN] GBA Savestate: Savestate is for a different version of the game
[GAME ERROR] GBA DMA: Invalid DMA source address: 0x00005492
[GAME ERROR] GBA DMA: Invalid DMA source address: 0x00006200
[GAME ERROR] GBA DMA: Invalid DMA source address: 0x00006830
[GAME ERROR] GBA DMA: Invalid DMA source address: 0x0000EBE8
[GAME ERROR] GBA I/O: Read from write-only I/O register: 010
[GAME ERROR] GBA I/O: Read from write-only I/O register: 010
[GAME ERROR] GBA I/O: Read from write-only I/O register: 012
[GAME ERROR] GBA I/O: Read from write-only I/O register: 012
[GAME ERROR] GBA I/O: Read from write-only I/O register: 014
[GAME ERROR] GBA I/O: Read from write-only I/O register: 014
[GAME ERROR] GBA I/O: Read from write-only I/O register: 016
[GAME ERROR] GBA I/O: Read from write-only I/O register: 016
[GAME ERROR] GBA I/O: Read from write-only I/O register: 018
[GAME ERROR] GBA I/O: Read from write-only I/O register: 018
[GAME ERROR] GBA I/O: Read from write-only I/O register: 01A
[GAME ERROR] GBA I/O: Read from write-only I/O register: 01A
[GAME ERROR] GBA I/O: Read from write-only I/O register: 010
[GAME ERROR] GBA I/O: Read from write-only I/O register: 010
[GAME ERROR] GBA I/O: Read from write-only I/O register: 012
[GAME ERROR] GBA I/O: Read from write-only I/O register: 012
[GAME ERROR] GBA I/O: Read from write-only I/O register: 014
[GAME ERROR] GBA I/O: Read from write-only I/O register: 014
[GAME ERROR] GBA I/O: Read from write-only I/O register: 016
[GAME ERROR] GBA I/O: Read from write-only I/O register: 016
[GAME ERROR] GBA I/O: Read from write-only I/O register: 018
[GAME ERROR] GBA I/O: Read from write-only I/O register: 018
[GAME ERROR] GBA I/O: Read from write-only I/O register: 01A
[GAME ERROR] GBA I/O: Read from write-only I/O register: 01A
[GAME ERROR] GBA I/O: Read from write-only I/O register: 010
[GAME ERROR] GBA I/O: Read from write-only I/O register: 010
[GAME ERROR] GBA I/O: Read from write-only I/O register: 012
[GAME ERROR] GBA I/O: Read from write-only I/O register: 012
[GAME ERROR] GBA I/O: Read from write-only I/O register: 014
[GAME ERROR] GBA I/O: Read from write-only I/O register: 014
[GAME ERROR] GBA I/O: Read from write-only I/O register: 016
[GAME ERROR] GBA I/O: Read from write-only I/O register: 016
[GAME ERROR] GBA I/O: Read from write-only I/O register: 018
[GAME ERROR] GBA I/O: Read from write-only I/O register: 018
[GAME ERROR] GBA I/O: Read from write-only I/O register: 01A
[GAME ERROR] GBA I/O: Read from write-only I/O register: 01A
[GAME ERROR] GBA I/O: Read from write-only I/O register: 010
[GAME ERROR] GBA I/O: Read from write-only I/O register: 010
[GAME ERROR] GBA I/O: Read from write-only I/O register: 012
[GAME ERROR] GBA I/O: Read from write-only I/O register: 012
[GAME ERROR] GBA I/O: Read from write-only I/O register: 014
[GAME ERROR] GBA I/O: Read from write-only I/O register: 014
[GAME ERROR] GBA I/O: Read from write-only I/O register: 016
[GAME ERROR] GBA I/O: Read from write-only I/O register: 016
[GAME ERROR] GBA I/O: Read from write-only I/O register: 018
[GAME ERROR] GBA I/O: Read from write-only I/O register: 018
[GAME ERROR] GBA I/O: Read from write-only I/O register: 01A
[GAME ERROR] GBA I/O: Read from write-only I/O register: 01A
[GAME ERROR] GBA I/O: Read from write-only I/O register: 010
[GAME ERROR] GBA I/O: Read from write-only I/O register: 010
[GAME ERROR] GBA I/O: Read from write-only I/O register: 012
[GAME ERROR] GBA I/O: Read from write-only I/O register: 012
[GAME ERROR] GBA I/O: Read from write-only I/O register: 014
[GAME ERROR] GBA I/O: Read from write-only I/O register: 014
[GAME ERROR] GBA I/O: Read from write-only I/O register: 016
[GAME ERROR] GBA I/O: Read from write-only I/O register: 016
[GAME ERROR] GBA I/O: Read from write-only I/O register: 018
[GAME ERROR] GBA I/O: Read from write-only I/O register: 018
[GAME ERROR] GBA I/O: Read from write-only I/O register: 01A
[GAME ERROR] GBA I/O: Read from write-only I/O register: 01A
[GAME ERROR] GBA I/O: Read from write-only I/O register: 010
[GAME ERROR] GBA I/O: Read from write-only I/O register: 010
[GAME ERROR] GBA I/O: Read from write-only I/O register: 012
[GAME ERROR] GBA I/O: Read from write-only I/O register: 012
[GAME ERROR] GBA I/O: Read from write-only I/O register: 014
[GAME ERROR] GBA I/O: Read from write-only I/O register: 014
[GAME ERROR] GBA I/O: Read from write-only I/O register: 016
[GAME ERROR] GBA I/O: Read from write-only I/O register: 016
[GAME ERROR] GBA I/O: Read from write-only I/O register: 018
[GAME ERROR] GBA I/O: Read from write-only I/O register: 018
[GAME ERROR] GBA I/O: Read from write-only I/O register: 01A
[GAME ERROR] GBA I/O: Read from write-only I/O register: 01A
[WARN] Debugger: Connection lost
